StringIndex,NumberIndex
두잇스터디카페 명일점 명일동,572
빌리엔젤 명동점 명동1가,573
엑스이스케이프 홍대놀이터점 서교동,574
엑스이스케이프 홍대점 서교동,575
카페노티드 잠실점 송파동,576
베르데커피 문래동2가,577
더피터커피 흥인동,578
어펜드커피로스터스 을지로2가,579
브런치카페미뇽 제기동,580
익골 신설동,581
키이스케이프 홍대점 서교동,582
포인트나인 역삼동,583
헤이피 제기동,584
메가엠지씨커피 염창점 염창동,585
이디야커피 양천구청점 신정동,586
컴포즈커피 신정중앙점 신정동,587
투썸플레이스서울대입구역점 서울대입구역점 봉천동,588
스타벅스 연신내역사거리점 불광동,589
폴바셋 롯데몰은평점 진관동,590
도깨비코티지 후암동,591
라비앙코코 이태원동,592
블루보틀 광화문점 서린동,593
에그마카슈 남대문점 남창동,594
고디바롯데잠실 에비뉴엘점 신천동,595
메가엠지씨커피 신정네거리점 신정동,596
스타벅스홍대삼거리점 홍대삼거리점 상수동,597
액트커피 방배동,598
카페 밤비2호점 망원동,599
투썸플레이스 홍대걷고싶은거리점 동교동,600
소적두압구정 신사동,601
안다즈커피 구의동,602
애견카페히릿 화양동,603
공차 홍대입구역점 동교동,604
르아브르 정릉동,605
매일카페 연남동,606
카페아비오 성산동,607
와플앨리 안암동5가,608
펫토리얼 숭인동,609
빈스앤와플 센트럴시티점 반포동,610
설빙 홍대입구역점 동교동,611
커피브레이크 신수동,612
턴다운서비스 연남동,613
플루프 연남동,614
랑데자뷰NC 구로점 구로동,615
마곡테이블 마곡동,616
파크15 용산동5가,617
공차 석촌역점 송파동,618
매머드익스프레스 방이점 방이동,619
빽다방 방이역코오롱점 방이동,620
스타벅스 송파나루역DT점 송파동,621
과일프레소 사당동,622
다올상점 봉천동,623
디어다온 동교동,624
로코민트 방배동,625
오후홍콩 대학로점 명륜4가,626
온실커피 방배동,627
저스트로맨틱 신림동,628
투썸플레이스사당역 남현동,629
헤르비폴즈 방배동,630
먼셀커피 사당동,631
오갈미 상도동,632
카페 인중독상도점 상도동,633
란스커피 문정동,634
오슬로우커피 문정점 문정동,635
