StringIndex,NumberIndex
저스트로맨틱 신림동,860
카페 마가렛 연남동,861
투썸플레이스 마포연남점 연남동,862
플루프 연남동,863
핀프릭 봉천동,864
할리스커피 홍대입구역점 동교동,865
스타벅스 강남비젼타워점 역삼동,866
투썸플레이스 송파구청사거리점 방이동,867
턴다운서비스 연남동,868
공차 성신여대점 동선동1가,869
이디야커피 미아꿈의숲해링턴점 미아동,870
212베이크샵 마곡동,871
더플롯커피 등촌동,872
라라브레드 공릉점 공릉동,873
유동커피 연남동,874
더브라운 이태원동,875
카페모노블럭 모노블록 서교동,876
랑데자뷰NC 구로점 구로동,877
마곡테이블 마곡동,878
