search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",cafe
씬(scene),오류동,서울 구로구 경인로19길 36-20,1오류동역,354.0,144,76.0,61.0,49.0,39.0,14.0,24.0,16.0,53.0,7.0,18.0,12.0,8.0,4.0,1.0,21.0,카페씬 오류동
카페 그리너리티,창동,서울 도봉구 노해로62길 80 1층 카페 그리너리티,4쌍문역,407.0,220,7.0,58.0,58.0,3.0,35.0,23.0,3.0,53.0,4.0,16.0,30.0,11.0,5.0,0.0,25.0,그리너리티 창동
티끌케이크,쌍문동,서울 도봉구 노해로 235 1층,4쌍문역,393.0,37,19.0,9.0,9.0,20.0,7.0,4.0,2.0,6.0,1.0,0.0,5.0,1.0,2.0,1.0,1.0,티끌 쌍문동
카페아르크,사직동,서울 종로구 인왕산로 3 1층 카페 아르크,3경복궁역,526.0,311,1.0,44.0,53.0,0.0,47.0,29.0,3.0,56.0,20.0,11.0,20.0,5.0,8.0,10.0,62.0,카페아르크 아르크 사직동
매더커피갤러리,서초동,서울 서초구 효령로47길 15 1층 매더커피갤러리,3남부터미널역,635.0,130,3.0,48.0,34.0,19.0,30.0,14.0,8.0,53.0,8.0,1.0,25.0,2.0,2.0,1.0,12.0,매더커피갤러리 서초동
사생활,신림동,서울 관악구 신사로14길 19 지하1층,2신대방역,367.0,1118,8.0,7.0,4.0,6.0,7.0,0.0,6.0,7.0,85.0,11.0,5.0,2.0,20.0,6.0,5.0,사생활 신림동
엔제리너스롯데마트행당점,행당동,서울 성동구 행당로 82 행당 한진타운,5행당역,9.0,208,1.0,56.0,38.0,30.0,23.0,17.0,6.0,3.0,12.0,6.0,17.0,21.0,2.0,11.0,0.0,엔제리너스 롯데마트행당점 행당동
메가MGC커피 구로매봉초점,개봉동,,,,400,5.0,0.0,76.0,28.0,37.0,12.0,5.0,5.0,12.0,1.0,10.0,93.0,2.0,3.0,4.0,메가커피 구로매봉초점 개봉동
루디먼트,성수동2가,서울 성동구 아차산로7길 15-8,2성수역,246.0,351,2.0,96.0,69.0,5.0,56.0,46.0,29.0,4.0,10.0,26.0,28.0,12.0,11.0,0.0,41.0,루디먼트 성수동2가
메가MGC커피 합정역점,합정동,서울 마포구 양화로 46-1,26합정역,17.0,270,1.0,41.0,56.0,21.0,16.0,7.0,5.0,2.0,9.0,0.0,11.0,2.0,0.0,0.0,0.0,메가커피 합정역점 합정동
비엔나커피하우스 목동7단지점,목동,서울 양천구 목동서로 211,5오목교역,447.0,246,1.0,26.0,55.0,22.0,34.0,34.0,10.0,42.0,23.0,8.0,22.0,7.0,2.0,8.0,3.0,VIENNACOFFEEHOUSE 목동7단지점 목동
티룸,성수동1가,서울 성동구 서울숲길 52 1층,2뚝섬역,299.0,339,3.0,61.0,9.0,3.0,70.0,46.0,8.0,75.0,25.0,1.0,95.0,15.0,5.0,1.0,22.0,티룸 성수동1가
구르미,동교동,서울 마포구 연희로1길 29 1층,2공항경의중앙홍대입구역,299.0,189,2.0,72.0,18.0,18.0,37.0,7.0,0.0,41.0,0.0,0.0,95.0,41.0,3.0,0.0,3.0,구르미산도 연남동본점 동교동
마호가니 현대백화점 천호점,천호동,서울 강동구 천호대로 1005 현대백화점 1층,58천호역,4.0,44,24.0,9.0,11.0,12.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,마호가니 현대백화점천호점 천호동
카페914,공릉동,서울 노원구 동일로184길 63-15 1층,7공릉역,402.0,86,39.0,16.0,19.0,13.0,11.0,13.0,5.0,14.0,3.0,5.0,10.0,3.0,1.0,0.0,6.0,카페914 914 공릉동
